w,x,chain,latitude,longitude
12350,25450,Loran9960,43.50333,66.945
12360,25450,Loran9960,43.495,66.975
12370,25450,Loran9960,43.485,67.00333
12380,25450,Loran9960,43.47667,67.03333
12390,25450,Loran9960,43.46667,67.06333
12400,25450,Loran9960,43.45833,67.09167
12410,25450,Loran9960,43.44833,67.12
12420,25450,Loran9960,43.44,67.14833
12430,25450,Loran9960,43.43,67.17667
12440,25450,Loran9960,43.42167,67.205
12450,25450,Loran9960,43.41167,67.23333
12460,25450,Loran9960,43.40333,67.26167
12470,25450,Loran9960,43.39333,67.28833
12480,25450,Loran9960,43.385,67.31667
12490,25450,Loran9960,43.375,67.345
12500,25450,Loran9960,43.36667,67.37167
12510,25450,Loran9960,43.35833,67.39833
12520,25450,Loran9960,43.34833,67.42667
12530,25450,Loran9960,43.34,67.45167
12540,25450,Loran9960,43.33,67.48
12550,25450,Loran9960,43.32167,67.505
12560,25450,Loran9960,43.31333,67.53167
12570,25450,Loran9960,43.30333,67.55833
12580,25450,Loran9960,43.295,67.585
12590,25450,Loran9960,43.28667,67.61167
12600,25450,Loran9960,43.27667,67.63667
12610,25450,Loran9960,43.26833,67.66333
12620,25450,Loran9960,43.26,67.68833
12630,25450,Loran9960,43.25167,67.71333
12640,25450,Loran9960,43.24167,67.74
12650,25450,Loran9960,43.21667,67.765
12660,25450,Loran9960,43.225,67.79
12670,25450,Loran9960,43.215,67.815
12680,25450,Loran9960,43.20667,67.84
12690,25450,Loran9960,43.19833,67.865
12700,25450,Loran9960,43.18833,67.89
12710,25450,Loran9960,43.18,67.915
12720,25450,Loran9960,43.17167,67.94
12730,25450,Loran9960,43.16333,67.965
12740,25450,Loran9960,43.15333,67.98833
12750,25450,Loran9960,43.145,68.01333
12760,25450,Loran9960,43.13667,68.03667
12770,25450,Loran9960,43.12833,68.06167
12780,25450,Loran9960,43.11833,68.085
12790,25450,Loran9960,43.11,68.11
12800,25450,Loran9960,43.10167,68.13333
12810,25450,Loran9960,43.09333,68.15667
12820,25450,Loran9960,43.08333,68.18
12830,25450,Loran9960,43.075,68.205
12840,25450,Loran9960,43.05,68.22833
12850,25450,Loran9960,43.05833,68.25167
12860,25450,Loran9960,43.04833,68.275
12870,25450,Loran9960,43.04,68.298330000000007
12880,25450,Loran9960,43.03167,68.32167
12890,25450,Loran9960,43.02167,68.345
12900,25450,Loran9960,43.01333,68.36833
12910,25450,Loran9960,43.005,68.39
12920,25450,Loran9960,42.99667,68.41333
12930,25450,Loran9960,42.98667,68.43667
12940,25450,Loran9960,42.97833,68.45833
12950,25450,Loran9960,42.97,68.48167
12960,25450,Loran9960,42.96167,68.50333
12970,25450,Loran9960,42.95167,68.52667
12980,25450,Loran9960,42.94333,68.548330000000007
12990,25450,Loran9960,42.935,68.57167
13000,25450,Loran9960,42.925,68.59333
13010,25450,Loran9960,42.9,68.615
13020,25450,Loran9960,42.90833,68.63833
13030,25450,Loran9960,42.89833,68.66
13040,25450,Loran9960,42.89,68.68167
13050,25450,Loran9960,42.88,68.70333
13060,25450,Loran9960,42.87167,68.72667
13070,25450,Loran9960,42.86333,68.74667
13080,25450,Loran9960,42.85333,68.76833
13090,25450,Loran9960,42.845,68.79167
13100,25450,Loran9960,42.835,68.81333
13110,25450,Loran9960,42.82667,68.835
13120,25450,Loran9960,42.81833,68.855
13130,25450,Loran9960,42.80833,68.87667
13140,25450,Loran9960,42.78333,68.89833
13150,25450,Loran9960,42.79,68.92
13160,25450,Loran9960,42.78167,68.94167
13170,25450,Loran9960,42.77167,68.96167
13180,25450,Loran9960,42.76333,68.96667
13190,25450,Loran9960,42.75333,69.00333
13200,25450,Loran9960,42.745,69.025
