w,y,chain,latitude,longitude
13180,44110,Loran9960,42.48833,68.68167
13190,44110,Loran9960,42.48,68.70667
13200,44110,Loran9960,42.47333,68.73167
13210,44110,Loran9960,42.46667,68.75667
13220,44110,Loran9960,42.46,68.78167
13230,44110,Loran9960,42.45333,68.80667
13240,44110,Loran9960,42.44667,68.83
13250,44110,Loran9960,42.44,68.855
13260,44110,Loran9960,42.43167,68.88
13270,44110,Loran9960,42.425,68.905
13280,44110,Loran9960,42.41833,68.93
13290,44110,Loran9960,42.41167,68.95333
13300,44110,Loran9960,42.405,68.97833
13310,44110,Loran9960,42.39833,69.00167
13320,44110,Loran9960,42.39167,69.02667
13330,44110,Loran9960,42.385,69.05167
13340,44110,Loran9960,42.37833,69.075
13350,44110,Loran9960,42.37167,69.08333
13360,44110,Loran9960,42.365,69.12333
13370,44110,Loran9960,42.35833,69.14833
13380,44110,Loran9960,42.35167,69.17167
13390,44110,Loran9960,42.345,69.19667
13400,44110,Loran9960,42.33833,69.22
13410,44110,Loran9960,42.33167,69.24333
13420,44110,Loran9960,42.325,69.26833
13430,44110,Loran9960,42.31833,69.29167
13440,44110,Loran9960,42.31167,69.315
13450,44110,Loran9960,42.305,69.34
13460,44110,Loran9960,42.29833,69.36333
13470,44110,Loran9960,42.29167,69.38667
13480,44110,Loran9960,42.285,69.41
13490,44110,Loran9960,42.27833,69.435
13500,44110,Loran9960,42.27167,69.45833
13510,44110,Loran9960,42.265,69.48167
13520,44110,Loran9960,42.25833,69.505
13530,44110,Loran9960,42.25167,69.52833
13540,44110,Loran9960,42.245,69.55167
13550,44110,Loran9960,42.23833,69.575
13560,44110,Loran9960,42.23167,69.59833
13570,44110,Loran9960,42.225,69.62167
13580,44110,Loran9960,42.21833,69.64667
13590,44110,Loran9960,42.21333,69.67
13600,44110,Loran9960,42.20667,69.69333
13610,44110,Loran9960,42.18333,69.7
13620,44110,Loran9960,42.19333,69.73833
13630,44110,Loran9960,42.18667,69.76333
13640,44110,Loran9960,42.18,69.785
13650,44110,Loran9960,42.17333,69.80833
13660,44110,Loran9960,42.16833,69.83167
13670,44110,Loran9960,42.16167,69.855
13680,44110,Loran9960,42.155,69.87833
13690,44110,Loran9960,42.14833,69.90167
13700,44110,Loran9960,42.14167,69.925
13710,44110,Loran9960,42.135,69.94833
13720,44110,Loran9960,42.13,69.97
13730,44110,Loran9960,42.12333,69.99333
13740,44110,Loran9960,42.1,70.01667
13750,44110,Loran9960,42.11,70.04
13760,44110,Loran9960,42.10333,70.06333
13770,44110,Loran9960,42.09667,70.085
13780,44110,Loran9960,42.09167,70.10833
13790,44110,Loran9960,42.085,70.13167
13800,44110,Loran9960,42.07833,70.15333
13810,44110,Loran9960,42.07167,70.17667
13820,44110,Loran9960,42.05,70.2
13830,44110,Loran9960,42.06,70.22333
13840,44110,Loran9960,42.05333,70.245
13850,44110,Loran9960,42.04667,70.26833
13860,44110,Loran9960,42.04167,70.29167
13870,44110,Loran9960,42.035,70.31333
13880,44110,Loran9960,42.02833,70.33667
13890,44110,Loran9960,42.02167,70.36
13900,44110,Loran9960,42,70.38167
13910,44110,Loran9960,42.01,70.405
13920,44110,Loran9960,42.00333,70.42833
13930,44110,Loran9960,41.99667,70.45
13940,44110,Loran9960,41.99167,70.47333
13950,44110,Loran9960,41.985,70.495
13960,44110,Loran9960,41.97833,70.51833
13970,44110,Loran9960,41.97333,70.54
13980,44110,Loran9960,41.96667,70.56333
13990,44110,Loran9960,41.96,70.585
14000,44110,Loran9960,41.955,70.60833
11800,44115,Loran9960,43.815,63.85667
11810,44115,Loran9960,43.8,63.91833
11820,44115,Loran9960,43.785,63.98
11830,44115,Loran9960,43.76833,64.03833
11840,44115,Loran9960,43.75333,64.09667
11850,44115,Loran9960,43.73833,64.155
11860,44115,Loran9960,43.725,64.21167
11870,44115,Loran9960,43.71,64.26833
11880,44115,Loran9960,43.695,64.32333
11890,44115,Loran9960,43.68167,64.37667
11900,44115,Loran9960,43.66667,64.43
11910,44115,Loran9960,43.65333,64.48333
11920,44115,Loran9960,43.64,64.53667
11930,44115,Loran9960,43.62667,64.58667
11940,44115,Loran9960,43.61333,64.63833
11950,44115,Loran9960,43.58333,64.68833
11960,44115,Loran9960,43.58667,64.73833
11970,44115,Loran9960,43.57333,64.78667
11980,44115,Loran9960,43.56,64.835
11990,44115,Loran9960,43.54833,64.86667
12000,44115,Loran9960,43.535,64.93
12010,44115,Loran9960,43.52333,64.97667
12020,44115,Loran9960,43.51167,65.02333
12030,44115,Loran9960,43.49833,65.06833
12040,44115,Loran9960,43.48667,65.11333
12050,44115,Loran9960,43.475,65.15833
12060,44115,Loran9960,43.46333,65.20333
12070,44115,Loran9960,43.45167,65.24667
