w,y,chain,latitude,longitude
12820,44340,Loran9960,43.35833,68.53833
12830,44340,Loran9960,43.35167,68.56
12840,44340,Loran9960,43.34333,68.56667
12850,44340,Loran9960,43.335,68.605
12860,44340,Loran9960,43.32667,68.62833
12870,44340,Loran9960,43.31833,68.65
12880,44340,Loran9960,43.31167,68.673330000000007
12890,44340,Loran9960,43.30333,68.695
12900,44340,Loran9960,43.295,68.71833
12910,44340,Loran9960,43.28667,68.74
12920,44340,Loran9960,43.28,68.76167
12930,44340,Loran9960,43.27167,68.785
12940,44340,Loran9960,43.26333,68.80667
12950,44340,Loran9960,43.255,68.82833
12960,44340,Loran9960,43.24833,68.85
12970,44340,Loran9960,43.24,68.87167
12980,44340,Loran9960,43.23167,68.895
12990,44340,Loran9960,43.225,68.9
13000,44340,Loran9960,43.21667,68.93833
13010,44340,Loran9960,43.20833,68.96
13020,44340,Loran9960,43.20167,68.98167
13030,44340,Loran9960,43.19333,69.00333
13040,44340,Loran9960,43.185,69.025
13050,44340,Loran9960,43.17833,69.04667
13060,44340,Loran9960,43.17,69.06833
13070,44340,Loran9960,43.16333,69.09
13080,44340,Loran9960,43.155,69.11167
13090,44340,Loran9960,43.14667,69.13333
13100,44340,Loran9960,43.14,69.155
13110,44340,Loran9960,43.13167,69.17667
13120,44340,Loran9960,43.125,69.19833
13130,44340,Loran9960,43.11667,69.22
13140,44340,Loran9960,43.10833,69.24167
13150,44340,Loran9960,43.10167,69.26333
13160,44340,Loran9960,43.09333,69.28333
13170,44340,Loran9960,43.08667,69.305
13180,44340,Loran9960,43.07833,69.32667
13190,44340,Loran9960,43.07167,69.34833
13200,44340,Loran9960,43.06333,69.36833
13210,44340,Loran9960,43.05667,69.39
13220,44340,Loran9960,43.04833,69.41167
13230,44340,Loran9960,43.04167,69.43167
13240,44340,Loran9960,43.03333,69.45333
13250,44340,Loran9960,43.02667,69.475
13260,44340,Loran9960,43.01833,69.49667
13270,44340,Loran9960,43.01167,69.51667
13280,44340,Loran9960,43.00333,69.53833
13290,44340,Loran9960,42.99667,69.55833
13300,44340,Loran9960,42.98833,69.58
13310,44340,Loran9960,42.98167,69.60167
13320,44340,Loran9960,42.97333,69.62167
13330,44340,Loran9960,42.96667,69.64333
13340,44340,Loran9960,42.96,69.66333
13350,44340,Loran9960,42.95167,69.685
13360,44340,Loran9960,42.945,69.705
13370,44340,Loran9960,42.93667,69.72667
13380,44340,Loran9960,42.93,69.74667
13390,44340,Loran9960,42.92167,69.76833
13400,44340,Loran9960,42.915,69.78833
13410,44340,Loran9960,42.90833,69.81
13420,44340,Loran9960,42.9,69.83
13430,44340,Loran9960,42.89333,69.85
13440,44340,Loran9960,42.885,69.87167
13450,44340,Loran9960,42.87833,69.89167
13460,44340,Loran9960,42.87167,69.91333
13470,44340,Loran9960,42.86333,69.93333
13480,44340,Loran9960,42.85667,69.95333
13490,44340,Loran9960,42.84833,69.975
13500,44340,Loran9960,42.84167,69.995
13510,44340,Loran9960,42.835,70.015
13520,44340,Loran9960,42.82833,70.03667
13530,44340,Loran9960,42.82,70.05667
13540,44340,Loran9960,42.81333,70.07667
13550,44340,Loran9960,42.805,70.09833
13560,44340,Loran9960,42.79833,70.11833
13570,44340,Loran9960,42.79167,70.13833
13580,44340,Loran9960,42.785,70.16
13590,44340,Loran9960,42.77667,70.18
13600,44340,Loran9960,42.77,70.2
13610,44340,Loran9960,42.76333,70.22
13620,44340,Loran9960,42.755,70.24167
13630,44340,Loran9960,42.74833,70.26167
13640,44340,Loran9960,42.74167,70.28167
