w,x,chain,latitude,longitude
13730,25670,Loran9960,42.52,70.33167
13740,25670,Loran9960,42.50833,70.34667
13750,25670,Loran9960,42.495,70.36333
13760,25670,Loran9960,42.48167,70.37833
13770,25670,Loran9960,42.46833,70.39333
13780,25670,Loran9960,42.45333,70.41
13790,25670,Loran9960,42.44,70.425
13800,25670,Loran9960,42.42667,70.44
13810,25670,Loran9960,42.41333,70.455
13820,25670,Loran9960,42.39833,70.47
13830,25670,Loran9960,42.385,70.485
13840,25670,Loran9960,42.37,70.50167
13850,25670,Loran9960,42.35667,70.5
13860,25670,Loran9960,42.34167,70.53167
13870,25670,Loran9960,42.32833,70.54667
13880,25670,Loran9960,42.31333,70.56167
13890,25670,Loran9960,42.29833,70.57667
13900,25670,Loran9960,42.28333,70.59167
13910,25670,Loran9960,42.26833,70.60667
13920,25670,Loran9960,42.25333,70.62
13930,25670,Loran9960,42.23833,70.635
13940,25670,Loran9960,42.22333,70.65
13950,25670,Loran9960,42.20833,70.665
13960,25670,Loran9960,42.19167,70.68
13970,25670,Loran9960,42.17667,70.695
13980,25670,Loran9960,42.16,70.70833
13990,25670,Loran9960,42.14333,70.72333
14000,25670,Loran9960,42.12833,70.73667
11800,25680,Loran9960,44.67,66.485
11810,25680,Loran9960,44.65667,66.515
11820,25680,Loran9960,44.64333,66.54667
11830,25680,Loran9960,44.63,66.575
11840,25680,Loran9960,44.61833,66.605
11850,25680,Loran9960,44.605,66.635
11860,25680,Loran9960,44.59167,66.66333
11870,25680,Loran9960,44.58,66.69167
11880,25680,Loran9960,44.56667,66.72
11890,25680,Loran9960,44.555,66.74833
11900,25680,Loran9960,44.54167,66.77667
11910,25680,Loran9960,44.53,66.80333
11920,25680,Loran9960,44.51667,66.83167
11930,25680,Loran9960,44.505,66.85833
11940,25680,Loran9960,44.49333,66.885
11950,25680,Loran9960,44.48167,66.91167
11960,25680,Loran9960,44.46833,66.93833
11970,25680,Loran9960,44.45667,66.965
11980,25680,Loran9960,44.445,66.99167
11990,25680,Loran9960,44.43333,67.01667
12000,25680,Loran9960,44.42167,67.04333
12010,25680,Loran9960,44.41,67.06833
12020,25680,Loran9960,44.39833,67.095
12030,25680,Loran9960,44.38667,67.11833
12040,25680,Loran9960,44.375,67.145
12050,25680,Loran9960,44.36333,67.16833
12060,25680,Loran9960,44.35333,67.19333
12070,25680,Loran9960,44.34167,67.21833
12080,25680,Loran9960,44.33,67.24333
12090,25680,Loran9960,44.31833,67.26667
12100,25680,Loran9960,44.30833,67.29167
12110,25680,Loran9960,44.29667,67.315
12120,25680,Loran9960,44.285,67.34
12130,25680,Loran9960,44.275,67.36333
12140,25680,Loran9960,44.26333,67.38667
12150,25680,Loran9960,44.25167,67.41
12160,25680,Loran9960,44.24167,67.43333
12170,25680,Loran9960,44.23,67.45667
12180,25680,Loran9960,44.22,67.48
12190,25680,Loran9960,44.20833,67.50333
12200,25680,Loran9960,44.19833,67.52667
12210,25680,Loran9960,44.18667,67.548330000000007
12220,25680,Loran9960,44.17667,67.57167
12230,25680,Loran9960,44.165,67.59333
12240,25680,Loran9960,44.155,67.6
12250,25680,Loran9960,44.145,67.63833
12260,25680,Loran9960,44.13333,67.66167
12270,25680,Loran9960,44.12333,67.66667
12280,25680,Loran9960,44.11167,67.705
12290,25680,Loran9960,44.10167,67.72667
12300,25680,Loran9960,44.09167,67.74833
12310,25680,Loran9960,44.08,67.77
12320,25680,Loran9960,44.07,67.79167
12330,25680,Loran9960,44.06,67.81333
12340,25680,Loran9960,44.04833,67.835
12350,25680,Loran9960,44.03833,67.85667
12360,25680,Loran9960,44.02833,67.87833
12370,25680,Loran9960,44.01833,67.89833
12380,25680,Loran9960,44.00667,67.92
12390,25680,Loran9960,43.99667,67.94167
12400,25680,Loran9960,43.98667,67.96333
12410,25680,Loran9960,43.97667,67.98333
12420,25680,Loran9960,43.965,68.005
12430,25680,Loran9960,43.955,68.025
12440,25680,Loran9960,43.945,68.04667
12450,25680,Loran9960,43.935,68.05
12460,25680,Loran9960,43.925,68.08667
12470,25680,Loran9960,43.91333,68.10833
12480,25680,Loran9960,43.90333,68.12833
12490,25680,Loran9960,43.89333,68.14833
12500,25680,Loran9960,43.88333,68.16833
12510,25680,Loran9960,43.87333,68.18833
12520,25680,Loran9960,43.86333,68.21
12530,25680,Loran9960,43.85167,68.23
12540,25680,Loran9960,43.84333,68.23333
12550,25680,Loran9960,43.83167,68.27
12560,25680,Loran9960,43.82167,68.29
12570,25680,Loran9960,43.81167,68.31
12580,25680,Loran9960,43.80167,68.33
12590,25680,Loran9960,43.79167,68.34833
12600,25680,Loran9960,43.78167,68.36833
12610,25680,Loran9960,43.77,68.38833
12620,25680,Loran9960,43.76167,68.40833
12630,25680,Loran9960,43.75,68.42833
12640,25680,Loran9960,43.74,68.44667
12650,25680,Loran9960,43.73,68.45
12660,25680,Loran9960,43.72,68.485
12670,25680,Loran9960,43.71,68.505
12680,25680,Loran9960,43.68333,68.525
12690,25680,Loran9960,43.69,68.54333
12700,25680,Loran9960,43.68,68.56333
12710,25680,Loran9960,43.66833,68.58167
12720,25680,Loran9960,43.65833,68.60167
12730,25680,Loran9960,43.64833,68.62
12740,25680,Loran9960,43.63833,68.63833
12750,25680,Loran9960,43.62833,68.65833
12760,25680,Loran9960,43.61833,68.67667
12770,25680,Loran9960,43.60833,68.69667
12780,25680,Loran9960,43.59833,68.715
12790,25680,Loran9960,43.58667,68.73333
12800,25680,Loran9960,43.57667,68.75167
12810,25680,Loran9960,43.56667,68.77167
12820,25680,Loran9960,43.55667,68.79
12830,25680,Loran9960,43.54667,68.80833
12840,25680,Loran9960,43.53667,68.82667
12850,25680,Loran9960,43.52667,68.845
12860,25680,Loran9960,43.515,68.86333
12870,25680,Loran9960,43.505,68.88167
12880,25680,Loran9960,43.495,68.90167
12890,25680,Loran9960,43.485,68.91833
12900,25680,Loran9960,43.475,68.93833
12910,25680,Loran9960,43.465,68.955
12920,25680,Loran9960,43.45333,68.975
12930,25680,Loran9960,43.44333,68.99333
12940,25680,Loran9960,43.43333,69.01
12950,25680,Loran9960,43.42333,69.02833
12960,25680,Loran9960,43.41333,69.04667
12970,25680,Loran9960,43.40167,69.065
12980,25680,Loran9960,43.39167,69.06667
12990,25680,Loran9960,43.38167,69.10167
13000,25680,Loran9960,43.37167,69.11833
13010,25680,Loran9960,43.36167,69.13667
13020,25680,Loran9960,43.35,69.155
13030,25680,Loran9960,43.34,69.173330000000007
13040,25680,Loran9960,43.33,69.19
13050,25680,Loran9960,43.31833,69.20833
13060,25680,Loran9960,43.30833,69.22667
13070,25680,Loran9960,43.29833,69.24333
13080,25680,Loran9960,43.28667,69.26167
13090,25680,Loran9960,43.27667,69.28
13100,25680,Loran9960,43.25,69.29667
13110,25680,Loran9960,43.255,69.315
13120,25680,Loran9960,43.245,69.33167
13130,25680,Loran9960,43.235,69.33333
13140,25680,Loran9960,43.22333,69.36667
13150,25680,Loran9960,43.21333,69.385
13160,25680,Loran9960,43.20167,69.40167
13170,25680,Loran9960,43.19167,69.42
13180,25680,Loran9960,43.18167,69.43667
13190,25680,Loran9960,43.17,69.45333
13200,25680,Loran9960,43.16,69.47167
13210,25680,Loran9960,43.14833,69.48833
13220,25680,Loran9960,43.13833,69.50667
13230,25680,Loran9960,43.12667,69.52333
13240,25680,Loran9960,43.1,69.54
13250,25680,Loran9960,43.105,69.55833
13260,25680,Loran9960,43.095,69.575
13270,25680,Loran9960,43.08333,69.59167
13280,25680,Loran9960,43.07167,69.60833
13290,25680,Loran9960,43.06167,69.62667
13300,25680,Loran9960,43.05,69.64333
13310,25680,Loran9960,43.03833,69.66
13320,25680,Loran9960,43.02833,69.67667
13330,25680,Loran9960,43.01667,69.69333
13340,25680,Loran9960,43.005,69.71
13350,25680,Loran9960,42.995,69.72833
13360,25680,Loran9960,42.98333,69.745
13370,25680,Loran9960,42.97167,69.76167
13380,25680,Loran9960,42.96167,69.77833
13390,25680,Loran9960,42.93333,69.795
13400,25680,Loran9960,42.93833,69.81167
13410,25680,Loran9960,42.92667,69.82833
13420,25680,Loran9960,42.915,69.845
13430,25680,Loran9960,42.90333,69.86167
13440,25680,Loran9960,42.89167,69.87833
13450,25680,Loran9960,42.88,69.895
13460,25680,Loran9960,42.86833,69.91167
13470,25680,Loran9960,42.85833,69.92667
13480,25680,Loran9960,42.845,69.94333
13490,25680,Loran9960,42.83333,69.96
13500,25680,Loran9960,42.82167,69.97667
13510,25680,Loran9960,42.81,69.99333
13520,25680,Loran9960,42.79833,70.01
13530,25680,Loran9960,42.78667,70.025
13540,25680,Loran9960,42.775,70.04167
13550,25680,Loran9960,42.76333,70.05833
13560,25680,Loran9960,42.75,70.075
13570,25680,Loran9960,42.73833,70.09
13580,25680,Loran9960,42.72667,70.10667
13590,25680,Loran9960,42.71333,70.12167
13600,25680,Loran9960,42.70167,70.13833
13610,25680,Loran9960,42.68833,70.155
13620,25680,Loran9960,42.67667,70.17
13630,25680,Loran9960,42.66333,70.18667
13640,25680,Loran9960,42.65167,70.20167
13650,25680,Loran9960,42.63833,70.21833
13660,25680,Loran9960,42.62667,70.235
13670,25680,Loran9960,42.61333,70.25
13680,25680,Loran9960,42.60167,70.265
13690,25680,Loran9960,42.58833,70.28167
13700,25680,Loran9960,42.575,70.29667
13710,25680,Loran9960,42.56167,70.31333
13720,25680,Loran9960,42.54833,70.32833
13730,25680,Loran9960,42.535,70.345
13740,25680,Loran9960,42.52167,70.36
13750,25680,Loran9960,42.51,70.375
13760,25680,Loran9960,42.49667,70.39
13770,25680,Loran9960,42.48167,70.40667
13780,25680,Loran9960,42.46833,70.42167
13790,25680,Loran9960,42.455,70.43667
13800,25680,Loran9960,42.44167,70.45167
13810,25680,Loran9960,42.42833,70.46667
13820,25680,Loran9960,42.41333,70.48167
13830,25680,Loran9960,42.38333,70.49833
13840,25680,Loran9960,42.385,70.51333
13850,25680,Loran9960,42.37,70.52833
13860,25680,Loran9960,42.35667,70.54333
13870,25680,Loran9960,42.34167,70.55833
13880,25680,Loran9960,42.32833,70.57333
13890,25680,Loran9960,42.31333,70.58833
13900,25680,Loran9960,42.29833,70.60333
13910,25680,Loran9960,42.26667,70.61833
13920,25680,Loran9960,42.26833,70.63167
13930,25680,Loran9960,42.25333,70.64667
13940,25680,Loran9960,42.23667,70.66167
13950,25680,Loran9960,42.22167,70.67667
13960,25680,Loran9960,42.20667,70.69
13970,25680,Loran9960,42.19,70.705
13980,25680,Loran9960,42.175,70.72
13990,25680,Loran9960,42.15833,70.73333
14000,25680,Loran9960,42.14167,70.74833
11800,25690,Loran9960,44.69167,66.54167
11810,25690,Loran9960,44.67833,66.57
11820,25690,Loran9960,44.665,66.6
11830,25690,Loran9960,44.65167,66.63
11840,25690,Loran9960,44.63833,66.65833
11850,25690,Loran9960,44.625,66.68667
11860,25690,Loran9960,44.61333,66.715
11870,25690,Loran9960,44.6,66.74333
11880,25690,Loran9960,44.58833,66.77167
11890,25690,Loran9960,44.575,66.798330000000007
11900,25690,Loran9960,44.56333,66.82667
11910,25690,Loran9960,44.55,66.85333
11920,25690,Loran9960,44.53833,66.88
11930,25690,Loran9960,44.52667,66.90667
11940,25690,Loran9960,44.51333,66.93333
11950,25690,Loran9960,44.50167,66.96
11960,25690,Loran9960,44.49,66.98667
11970,25690,Loran9960,44.47833,67.01167
11980,25690,Loran9960,44.45,67.03833
11990,25690,Loran9960,44.455,67.06333
12000,25690,Loran9960,44.44333,67.08833
12010,25690,Loran9960,44.43167,67.11333
12020,25690,Loran9960,44.42,67.13833
12030,25690,Loran9960,44.40833,67.16333
12040,25690,Loran9960,44.39667,67.18833
12050,25690,Loran9960,44.385,67.21333
12060,25690,Loran9960,44.37333,67.23667
12070,25690,Loran9960,44.36333,67.26167
12080,25690,Loran9960,44.35167,67.285
12090,25690,Loran9960,44.34,67.31
12100,25690,Loran9960,44.32833,67.31667
12110,25690,Loran9960,44.31833,67.35667
12120,25690,Loran9960,44.30667,67.38
12130,25690,Loran9960,44.295,67.40333
12140,25690,Loran9960,44.285,67.42667
12150,25690,Loran9960,44.27333,67.45
12160,25690,Loran9960,44.26333,67.47333
12170,25690,Loran9960,44.25167,67.49667
