w,x,chain,latitude,longitude
13340,25000,Loran9960,NA,NA
13350,25000,Loran9960,NA,NA
13360,25000,Loran9960,NA,NA
13370,25000,Loran9960,NA,NA
13380,25000,Loran9960,NA,NA
13390,25000,Loran9960,NA,NA
13400,25000,Loran9960,NA,NA
13410,25000,Loran9960,NA,NA
13420,25000,Loran9960,NA,NA
13430,25000,Loran9960,NA,NA
13440,25000,Loran9960,NA,NA
13450,25000,Loran9960,NA,NA
13460,25000,Loran9960,NA,NA
13470,25000,Loran9960,NA,NA
13480,25000,Loran9960,NA,NA
13490,25000,Loran9960,NA,NA
13500,25000,Loran9960,NA,NA
13510,25000,Loran9960,NA,NA
13520,25000,Loran9960,NA,NA
13530,25000,Loran9960,NA,NA
13540,25000,Loran9960,NA,NA
13550,25000,Loran9960,NA,NA
13560,25000,Loran9960,NA,NA
13570,25000,Loran9960,NA,NA
13580,25000,Loran9960,NA,NA
13590,25000,Loran9960,NA,NA
13600,25000,Loran9960,NA,NA
13610,25000,Loran9960,NA,NA
13620,25000,Loran9960,NA,NA
13630,25000,Loran9960,NA,NA
13640,25000,Loran9960,NA,NA
13650,25000,Loran9960,NA,NA
13660,25000,Loran9960,NA,NA
13670,25000,Loran9960,NA,NA
13680,25000,Loran9960,NA,NA
13690,25000,Loran9960,NA,NA
13700,25000,Loran9960,NA,NA
13710,25000,Loran9960,NA,NA
13720,25000,Loran9960,NA,NA
13730,25000,Loran9960,NA,NA
13740,25000,Loran9960,NA,NA
13750,25000,Loran9960,NA,NA
13760,25000,Loran9960,NA,NA
13770,25000,Loran9960,NA,NA
13780,25000,Loran9960,NA,NA
13790,25000,Loran9960,NA,NA
13800,25000,Loran9960,NA,NA
13810,25000,Loran9960,NA,NA
13820,25000,Loran9960,NA,NA
13830,25000,Loran9960,NA,NA
13840,25000,Loran9960,NA,NA
13850,25000,Loran9960,NA,NA
13860,25000,Loran9960,NA,NA
13870,25000,Loran9960,NA,NA
13880,25000,Loran9960,NA,NA
13890,25000,Loran9960,NA,NA
13900,25000,Loran9960,NA,NA
13910,25000,Loran9960,NA,NA
13920,25000,Loran9960,NA,NA
13930,25000,Loran9960,NA,NA
13940,25000,Loran9960,NA,NA
13950,25000,Loran9960,NA,NA
13960,25000,Loran9960,NA,NA
