w,x,chain,latitude,longitude
12270,25230,Loran9960,42.78,65.135
12280,25230,Loran9960,42.77333,65.185
12290,25230,Loran9960,42.76833,65.23667
12300,25230,Loran9960,42.76167,65.28833
12310,25230,Loran9960,42.755,65.33833
12320,25230,Loran9960,42.73333,65.38667
12330,25230,Loran9960,42.74333,65.43667
12340,25230,Loran9960,42.73833,65.485
12350,25230,Loran9960,42.73167,65.53167
12360,25230,Loran9960,42.72667,65.58
12370,25230,Loran9960,42.72,65.62667
12380,25230,Loran9960,42.715,65.673330000000007
12390,25230,Loran9960,42.71,65.71833
12400,25230,Loran9960,42.70333,65.76333
12410,25230,Loran9960,42.69667,65.81
12420,25230,Loran9960,42.69167,65.85333
12430,25230,Loran9960,42.68667,65.89833
12440,25230,Loran9960,42.68,65.94167
12450,25230,Loran9960,42.675,65.985
12460,25230,Loran9960,42.66833,66.02833
12470,25230,Loran9960,42.66333,66.07
12480,25230,Loran9960,42.65833,66.11167
12490,25230,Loran9960,42.65167,66.15333
12500,25230,Loran9960,42.64667,66.195
12510,25230,Loran9960,42.64167,66.23667
12520,25230,Loran9960,42.635,66.27667
12530,25230,Loran9960,42.63,66.31667
12540,25230,Loran9960,42.625,66.35667
12550,25230,Loran9960,42.61833,66.39667
12560,25230,Loran9960,42.61333,66.43667
12570,25230,Loran9960,42.60833,66.475
12580,25230,Loran9960,42.60167,66.51333
12590,25230,Loran9960,42.59667,66.55167
12600,25230,Loran9960,42.59167,66.59
12610,25230,Loran9960,42.585,66.62833
12620,25230,Loran9960,42.58,66.665
12630,25230,Loran9960,42.575,66.70167
12640,25230,Loran9960,42.56833,66.74
12650,25230,Loran9960,42.56333,66.77667
12660,25230,Loran9960,42.55833,66.81333
12670,25230,Loran9960,42.55167,66.84833
12680,25230,Loran9960,42.54667,66.885
12690,25230,Loran9960,42.54167,66.92
12700,25230,Loran9960,42.535,66.955
12710,25230,Loran9960,42.53,66.99167
12720,25230,Loran9960,42.525,67.02667
12730,25230,Loran9960,42.52,67.06
12740,25230,Loran9960,42.51333,67.095
12750,25230,Loran9960,42.50833,67.13
12760,25230,Loran9960,42.50333,67.16333
12770,25230,Loran9960,42.49667,67.19667
12780,25230,Loran9960,42.49167,67.23
12790,25230,Loran9960,42.48667,67.26333
12800,25230,Loran9960,42.48,67.29667
12810,25230,Loran9960,42.475,67.33
12820,25230,Loran9960,42.47,67.36333
12830,25230,Loran9960,42.46333,67.395
12840,25230,Loran9960,42.45833,67.42833
12850,25230,Loran9960,42.45333,67.46
12860,25230,Loran9960,42.44667,67.49167
12870,25230,Loran9960,42.44167,67.52333
12880,25230,Loran9960,42.43667,67.555
12890,25230,Loran9960,42.43,67.58667
12900,25230,Loran9960,42.425,67.61833
12910,25230,Loran9960,42.42,67.63333
12920,25230,Loran9960,42.41333,67.68
12930,25230,Loran9960,42.40833,67.71167
