w,y,chain,latitude,longitude
12350,44225,Loran9960,43.455,66.85833
12360,44225,Loran9960,43.44667,66.88833
12370,44225,Loran9960,43.43667,66.91833
12380,44225,Loran9960,43.42667,66.94833
12390,44225,Loran9960,43.41833,66.97833
12400,44225,Loran9960,43.40833,67.00833
12410,44225,Loran9960,43.38333,67.03667
12420,44225,Loran9960,43.39,67.05
12430,44225,Loran9960,43.38167,67.095
12440,44225,Loran9960,43.37167,67.125
12450,44225,Loran9960,43.36333,67.15333
12460,44225,Loran9960,43.355,67.18167
12470,44225,Loran9960,43.345,67.21167
12480,44225,Loran9960,43.33667,67.23833
12490,44225,Loran9960,43.32833,67.26833
12500,44225,Loran9960,43.31833,67.29667
12510,44225,Loran9960,43.31,67.32333
12520,44225,Loran9960,43.30167,67.35167
12530,44225,Loran9960,43.29333,67.38
12540,44225,Loran9960,43.285,67.40667
12550,44225,Loran9960,43.275,67.435
12560,44225,Loran9960,43.26667,67.46167
12570,44225,Loran9960,43.25833,67.49
12580,44225,Loran9960,43.25,67.51667
12590,44225,Loran9960,43.24167,67.545
12600,44225,Loran9960,43.21667,67.57167
12610,44225,Loran9960,43.225,67.59833
12620,44225,Loran9960,43.2,67.625
12630,44225,Loran9960,43.20833,67.65167
12640,44225,Loran9960,43.18333,67.67833
12650,44225,Loran9960,43.19167,67.705
12660,44225,Loran9960,43.16667,67.73
12670,44225,Loran9960,43.175,67.75667
12680,44225,Loran9960,43.15,67.78333
12690,44225,Loran9960,43.15833,67.81
12700,44225,Loran9960,43.15,67.835
12710,44225,Loran9960,43.14167,67.86167
12720,44225,Loran9960,43.13333,67.88667
12730,44225,Loran9960,43.12667,67.91333
12740,44225,Loran9960,43.11833,67.93833
12750,44225,Loran9960,43.11,67.965
12760,44225,Loran9960,43.10167,67.99
12770,44225,Loran9960,43.09333,68.015
12780,44225,Loran9960,43.085,68.04167
12790,44225,Loran9960,43.07833,68.05
12800,44225,Loran9960,43.07,68.09167
12810,44225,Loran9960,43.06167,68.1
12820,44225,Loran9960,43.05333,68.14167
12830,44225,Loran9960,43.04667,68.16667
12840,44225,Loran9960,43.03833,68.19167
12850,44225,Loran9960,43.03,68.2
12860,44225,Loran9960,43.02167,68.24167
12870,44225,Loran9960,43.015,68.265
12880,44225,Loran9960,43.00667,68.29
12890,44225,Loran9960,42.99833,68.315
12900,44225,Loran9960,42.99167,68.34
12910,44225,Loran9960,42.98333,68.36333
12920,44225,Loran9960,42.97667,68.38833
12930,44225,Loran9960,42.96833,68.41333
12940,44225,Loran9960,42.96167,68.43667
12950,44225,Loran9960,42.95333,68.46167
12960,44225,Loran9960,42.945,68.485
12970,44225,Loran9960,42.93833,68.51
12980,44225,Loran9960,42.93,68.53333
12990,44225,Loran9960,42.92333,68.55833
13000,44225,Loran9960,42.915,68.58167
13010,44225,Loran9960,42.90833,68.605
13020,44225,Loran9960,42.9,68.63
13030,44225,Loran9960,42.89333,68.65333
13040,44225,Loran9960,42.885,68.67667
13050,44225,Loran9960,42.87833,68.7
13060,44225,Loran9960,42.87,68.725
13070,44225,Loran9960,42.86333,68.74833
13080,44225,Loran9960,42.855,68.77167
13090,44225,Loran9960,42.84833,68.795
13100,44225,Loran9960,42.84,68.81833
13110,44225,Loran9960,42.83333,68.84167
13120,44225,Loran9960,42.82667,68.865
13130,44225,Loran9960,42.81833,68.88833
13140,44225,Loran9960,42.81167,68.91167
13150,44225,Loran9960,42.80333,68.935
13160,44225,Loran9960,42.79667,68.95833
13170,44225,Loran9960,42.79,68.98
13180,44225,Loran9960,42.78167,69.00333
13190,44225,Loran9960,42.775,69.02667
13200,44225,Loran9960,42.76833,69.05
13210,44225,Loran9960,42.76,69.07333
13220,44225,Loran9960,42.75333,69.09667
13230,44225,Loran9960,42.74667,69.11833
13240,44225,Loran9960,42.73833,69.14167
13250,44225,Loran9960,42.73167,69.165
13260,44225,Loran9960,42.725,69.18667
13270,44225,Loran9960,42.71667,69.21
13280,44225,Loran9960,42.71,69.21667
13290,44225,Loran9960,42.70333,69.255
13300,44225,Loran9960,42.695,69.27833
13310,44225,Loran9960,42.68833,69.30167
13320,44225,Loran9960,42.68167,69.32333
13330,44225,Loran9960,42.675,69.34667
13340,44225,Loran9960,42.66667,69.36833
13350,44225,Loran9960,42.66,69.39167
13360,44225,Loran9960,42.65333,69.41333
13370,44225,Loran9960,42.64667,69.435
13380,44225,Loran9960,42.63833,69.45833
13390,44225,Loran9960,42.63167,69.48
13400,44225,Loran9960,42.625,69.50333
13410,44225,Loran9960,42.61833,69.525
13420,44225,Loran9960,42.61167,69.54667
13430,44225,Loran9960,42.60333,69.57
13440,44225,Loran9960,42.59667,69.59167
13450,44225,Loran9960,42.59,69.61333
13460,44225,Loran9960,42.56667,69.63667
13470,44225,Loran9960,42.57667,69.65833
13480,44225,Loran9960,42.56833,69.68
13490,44225,Loran9960,42.56167,69.70333
13500,44225,Loran9960,42.555,69.725
13510,44225,Loran9960,42.54833,69.74667
13520,44225,Loran9960,42.54167,69.76833
13530,44225,Loran9960,42.535,69.79167
13540,44225,Loran9960,42.52833,69.81333
13550,44225,Loran9960,42.52,69.835
13560,44225,Loran9960,42.51333,69.85667
13570,44225,Loran9960,42.50667,69.87833
13580,44225,Loran9960,42.5,69.9
13590,44225,Loran9960,42.49333,69.92167
13600,44225,Loran9960,42.48667,69.945
13610,44225,Loran9960,42.48,69.95
13620,44225,Loran9960,42.47167,69.98833
13630,44225,Loran9960,42.465,70.01
13640,44225,Loran9960,42.45833,70.03167
13650,44225,Loran9960,42.45167,70.05333
13660,44225,Loran9960,42.445,70.075
13670,44225,Loran9960,42.43833,70.09667
13680,44225,Loran9960,42.43167,70.11833
13690,44225,Loran9960,42.425,70.14
13700,44225,Loran9960,42.41833,70.16167
